"Query","True Cardinalty","Normalized Cardinality"
"Synthetic_68",2310810,0.637688407883919
"Synthetic_69",42,0.1626595858731531
"Synthetic_70",81344,0.49204488863686646
"Synthetic_71",2370751,0.6388028712018868
"Synthetic_72",56946,0.47652673140891805
"Synthetic_73",3671545,0.6578383261693684
"Synthetic_74",741932,0.5882466726139526
"Synthetic_75",662416,0.5833131935409662
"Synthetic_76",213,0.23331799021332345
"Synthetic_77",39982151,0.7617538525681145
"Synthetic_78",398,0.2605243115297863
"Synthetic_79",4198516,0.6636750303497451
"Synthetic_80",744542,0.5883994969029118
"Synthetic_81",2,0.03016506134932458
"Synthetic_82",6646317,0.6836646810604399
"Synthetic_83",843688,0.5938399571902638
"Synthetic_84",49402,0.47034213794422
"Synthetic_85",2,0.03016506134932458
"Synthetic_86",1,0.0
"Synthetic_87",4072192,0.6623455384269203
"Synthetic_88",47016857,0.7688071078650958
"Synthetic_89",20114,0.4312370743909251
"Synthetic_90",1042283,0.6030392621233488
"Synthetic_91",59,0.17745028848017777
"Synthetic_92",20754,0.4326002155865821
"Synthetic_93",1029245,0.6024914462008079
"Synthetic_94",2016503,0.6317596734870053
"Synthetic_95",8,0.09049518404797373
"Synthetic_96",483,0.268948048445759
"Synthetic_97",22363041,0.7364683004177024
"Synthetic_98",1892838,0.629005464327291
"Synthetic_99",561,0.2754630254500209
"Synthetic_100",28177721,0.7465264946733072
"Synthetic_101",6081642,0.6798007113205505
"Synthetic_102",7261,0.38689564515792846
"Synthetic_103",5995389,0.6791790839047909
"Synthetic_104",19,0.12813899405050955
"Synthetic_105",24382536,0.7402308429042633
"Synthetic_106",33128308,0.7535703257503462
"Synthetic_107",2,0.03016506134932458
"Synthetic_108",2314071,0.6377497782982935
"Synthetic_109",20032173,0.7316781653779453
"Synthetic_110",6694220,0.6839772170356261
"Synthetic_111",1556102,0.6204803862561858
"Synthetic_112",11429999,0.7072597397826862
"Synthetic_113",12698,0.4112195779651462
"Synthetic_114",1194165,0.6089593104558957
"Synthetic_115",314536973,0.8515190909163365
"Synthetic_116",81818979,0.7929167573917614
"Synthetic_117",922,0.2970843152044164
"Synthetic_118",203113,0.531868040659549
"Synthetic_119",624234,0.5807295384860934
"Synthetic_120",2728943,0.6449263218414886
"Synthetic_121",7567967,0.6893161262080916
"Synthetic_122",149,0.21776666131085387
"Synthetic_123",56848525,0.7770706700708035
"Synthetic_124",29586445,0.7486495547072497
"Synthetic_125",1879167,0.6286900084140465
"Synthetic_126",5157644,0.6726290072801894
"Synthetic_127",33,0.15216445808061987
"Synthetic_128",177494679,0.8266192252979196
"Synthetic_129",355,0.2555486025736885
"Synthetic_130",86532,0.4947355461192005
"Synthetic_131",2990610,0.6489110517098989
"Synthetic_132",77,0.18903800046318325
"Synthetic_133",10169372,0.702174070686221
"Synthetic_134",2848793,0.6467968130979048
"Synthetic_135",6639277,0.6836185598739923
"Synthetic_136",544532,0.5747849066672648
"Synthetic_137",120023,0.5089736132299935
"Synthetic_138",1346178,0.614173853947514
"Synthetic_139",18332497,0.7278195827500586
"Synthetic_140",156,0.21976460488648514
"Synthetic_141",1997146,0.6313399040888118
"Synthetic_142",387979,0.5600330373516912
"Synthetic_143",4479478,0.6664939896361842
"Synthetic_144",45,0.16566208557226278
"Synthetic_145",744010,0.5883683900276458
"Synthetic_146",42,0.1626595858731531
"Synthetic_147",258248,0.5423194680937407
"Synthetic_148",210,0.23270068930415072
"Synthetic_149",393813,0.5606825565792969
"Synthetic_150",17363671,0.7254567139498191
"Synthetic_151",85618,0.49427342906414423
"Synthetic_152",28150437,0.7464843355789627
"Synthetic_153",3932302,0.6608242703390047
"Synthetic_154",1935005,0.6299643015885068
"Synthetic_155",12761011,0.7120534915402909
"Synthetic_156",10031889,0.701581710346867
"Synthetic_157",2697169,0.6444166427135138
"Synthetic_158",9847312,0.700773545629511
"Synthetic_159",106824,0.5039036180052987
"Synthetic_160",2945450,0.6482488767138248
"Synthetic_161",35390077,0.7564444642532087
"Synthetic_162",5291581,0.673744711357381
"Synthetic_163",74146,0.48801281325075824
"Synthetic_164",22791697,0.7372945806715233
"Synthetic_165",459573,0.5674028286611522
"Synthetic_166",5674,0.3761628529153576
"Synthetic_167",2088756,0.6332917093039006
"Synthetic_168",3246200,0.652479943594239
"Synthetic_169",12632,0.4109927907980228
"Synthetic_170",72446,0.48700340495692807
"Synthetic_171",7813854,0.6907075952863396
"Synthetic_172",14,0.11484909480252052
"Synthetic_173",27192,0.44435834074336655
"Synthetic_174",17561,0.4253300008520183
"Synthetic_175",1543595,0.620129193935187
"Synthetic_176",278473,0.5456008318619074
"Synthetic_177",1345620,0.6141558112907823
"Synthetic_178",1143,0.3064350844688328
"Synthetic_179",8770496,0.6957338225318859
"Synthetic_180",3985017,0.6614037940805025
"Synthetic_181",77964,0.4901979475564269
"Synthetic_182",1056939,0.6036469392522607
"Synthetic_183",740622,0.5881697649472867
"Synthetic_184",29660,0.44813911885125746
"Synthetic_185",1,0.0
"Synthetic_186",12500073,0.7111543883447308
"Synthetic_187",413446,0.562799787205131
"Synthetic_188",3041298,0.6496424760644376
"Synthetic_189",2599585,0.6428129295142762
"Synthetic_190",1520208,0.6194647920417927
"Synthetic_191",133915414,0.8143585230661404
"Synthetic_192",2218831,0.6359207697984046
"Synthetic_193",1267919,0.6115673935077458
"Synthetic_194",3476378,0.6554612492955133
"Synthetic_195",429,0.2637884491978233
"Synthetic_196",13130,0.41267551375151085
"Synthetic_197",69236,0.48503110290250673
"Synthetic_198",2575581,0.6424092179450698
"Synthetic_199",4694,0.3679112513998741
"Synthetic_200",3433275,0.6549182920392493
"Synthetic_201",146979016,0.8184093339545071
"Synthetic_202",116706,0.5077539745768525
"Synthetic_203",269383,0.5441565695916956
"Synthetic_204",4361932,0.6653367570294887
"Synthetic_205",3376865,0.6541973194722824
"Synthetic_206",795055,0.5912561714017559
"Synthetic_207",22432,0.4359837953733218
"Synthetic_208",11957367,0.7092227150780646
"Synthetic_209",129336,0.5122257990431505
"Synthetic_210",479803,0.5692775310064866
"Synthetic_211",258870,0.5424241591753175
"Synthetic_212",488154,0.5700284653067526
"Synthetic_213",101317,0.5016002275796158
"Synthetic_214",33759,0.45377255180065734
"Synthetic_215",313480,0.5507541087034642
"Synthetic_216",27712580,0.7458021138439407
"Synthetic_217",1674159,0.6236627978689231
"Synthetic_218",1420415,0.6165099363315736
"Synthetic_219",19778058,0.7311225807130401
"Synthetic_220",21316,0.43376299781899247
"Synthetic_221",3674270,0.6578706137339138
"Synthetic_222",409629,0.5623961468215656
"Synthetic_223",32576,0.45222017620661303
"Synthetic_224",69434,0.48515538017618315
"Synthetic_225",420042,0.5634885966753033
"Synthetic_226",773,0.2894133902827273
"Synthetic_227",778,0.28969397787249823
"Synthetic_228",429,0.2637884491978233
"Synthetic_229",314,0.2502077437596965
"Synthetic_230",58986126,0.7786770423588667
"Synthetic_231",12670688,0.7117443669507856
"Synthetic_232",1303666,0.612777365839313
"Synthetic_233",10318,0.4021870143931412
"Synthetic_234",49936,0.4708100225710297
"Synthetic_235",450441,0.566529372414107
"Synthetic_236",155,0.2194847390704152
"Synthetic_237",3411365,0.6546396786409306
"Synthetic_238",1357579,0.614540871310442
"Synthetic_239",2771514,0.6455999690233133
"Synthetic_240",336309,0.5538132677935995
"Synthetic_241",9949305,0.7012219728583222
"Synthetic_242",610917,0.5797910867935291
"Synthetic_243",369694,0.5579321332244989
"Synthetic_244",442387,0.5657442012316449
"Synthetic_245",32529,0.45215734254950796
"Synthetic_246",288926,0.5472044843835119
"Synthetic_247",4494302,0.6666377698518374
"Synthetic_248",442278,0.5657334772416026
"Synthetic_249",9057189,0.697133630065756
"Synthetic_250",87344,0.49514201592802126
"Synthetic_251",659386,0.5831136738644156
"Synthetic_252",21499,0.434135018029024
"Synthetic_253",19953519,0.7315069568058828
"Synthetic_254",16640,0.4229855853427976
"Synthetic_255",378799,0.55899095381261
"Synthetic_256",81160,0.49194633725899617
"Synthetic_257",35495160,0.7565734927782728
"Synthetic_258",458296,0.5672817356098413
"Synthetic_259",680091,0.5844591726637798
"Synthetic_260",433169,0.5648278170800913
"Synthetic_261",982,0.29982801678627413
"Synthetic_262",131640,0.5129942248385831
"Synthetic_263",378876,0.5589997991930479
"Synthetic_264",1602,0.32112693971756323
"Synthetic_265",8594,0.3942306274547314
"Synthetic_266",194499,0.5299821257662487
"Synthetic_267",3347285,0.6538144309695121
"Synthetic_268",6128,0.3795126874019244
"Synthetic_269",17454365,0.7256834309133665
"Synthetic_270",26663241,0.7441222555229418
"Synthetic_271",917195,0.597475417457129
"Synthetic_272",6771894,0.6844792670086174
"Synthetic_273",322839,0.5520343582274788
"Synthetic_274",1930,0.329233097101625
"Synthetic_275",23998365,0.7395396989687354
"Synthetic_276",20356,0.4317575448509481
"Synthetic_277",3928,0.36015813948492326
"Synthetic_278",8155239,0.6925685641409032
"Synthetic_279",757992,0.5891786419676623
"Synthetic_280",255300,0.5418198249238502
"Synthetic_281",35,0.15472513688419356
"Synthetic_282",3402734,0.6545294329414256
"Synthetic_283",3199424,0.6518482965259468
"Synthetic_284",148117,0.5181264873401965
"Synthetic_285",1650,0.3224117262919397
"Synthetic_286",4568446,0.6673498592914688
"Synthetic_287",93,0.19725412671005016
"Synthetic_288",499840,0.5710579990289478
"Synthetic_289",2388210,0.6391221851688136
"Synthetic_290",163571133,0.8230640432192312
"Synthetic_291",390941,0.5603640183335238
"Synthetic_292",132,0.21249458077926903
"Synthetic_293",1082138,0.6046723213412101
"Synthetic_294",517333,0.5725549964118104
"Synthetic_295",397,0.26041482975024177
"Synthetic_296",5,0.07004110343099762
"Synthetic_297",83791280,0.793953367022828
"Synthetic_298",1660869,0.623315951986716
"Synthetic_299",1076953,0.6044633015565184
"Synthetic_300",297,0.24778544022188506
"Synthetic_301",1,0.0
"Synthetic_302",1748180,0.6255456161412895
"Synthetic_303",87,0.19435178582250867
"Synthetic_304",12,0.10814061376928175
"Synthetic_305",1237707,0.610517867935335
"Synthetic_306",328221,0.5527538756590484
"Synthetic_307",2,0.03016506134932458
"Synthetic_308",1765741,0.6259805964654586
"Synthetic_309",2504778,0.6411961248671671
"Synthetic_310",10453544,0.7033734800849155
"Synthetic_311",17,0.12329856736940105
"Synthetic_312",857942,0.5945690629459077
"Synthetic_313",2726265,0.6448835942865978
"Synthetic_314",7324555,0.6878934005636612
"Synthetic_315",9842,0.40013156922367277
"Synthetic_316",1248879,0.6109089240785102
"Synthetic_317",17601365,0.7260484113719807
"Synthetic_318",11160062,0.7062196413720847
"Synthetic_319",38,0.15830405539983414
"Synthetic_320",582731,0.577735448689903
"Synthetic_321",41903582,0.7637965546230049
"Synthetic_322",1069051,0.6041428095452488
"Synthetic_323",777,0.2896380048944712
"Synthetic_324",2137953,0.6343048380389713
"Synthetic_325",5,0.07004110343099762
"Synthetic_326",6701798,0.6840264535922039
"Synthetic_327",2422668,0.6397456068433702
"Synthetic_328",2785,0.3451927215814801
"Synthetic_329",152,0.21863417809848332
"Synthetic_330",313,0.2500689271047794
"Synthetic_331",25498396,0.7421782482570927
"Synthetic_332",458418,0.5672933189741843
"Synthetic_333",2252536,0.6365768712333713
"Synthetic_334",665228,0.5834975435130609
"Synthetic_335",93082,0.4979109757221098
"Synthetic_336",27217405,0.7450174751126317
"Synthetic_337",4891061,0.6703194272422491
"Synthetic_338",97842,0.5000814027150472
"Synthetic_339",1426839,0.6167063125103547
"Synthetic_340",5093894,0.6720877478088295
"Synthetic_341",6989602,0.6858563297324011
"Synthetic_342",554134,0.5755456108814898
"Synthetic_343",1108456,0.6057180539067379
"Synthetic_344",1,0.0
"Synthetic_345",26,0.14178905246652798
"Synthetic_346",184062220,0.8282004102034549
"Synthetic_347",23119,0.4372966012173749
"Synthetic_348",169569,0.5240127529648023
"Synthetic_349",1721700,0.624881382750515
"Synthetic_350",44,0.16468408970863646
"Synthetic_351",1057866,0.6036850913288239
"Synthetic_352",60055286,0.779458787261762
"Synthetic_353",5042,0.37102363043544806
"Synthetic_354",15,0.11785159450163021
"Synthetic_355",28808107,0.7474893613575346
"Synthetic_356",4715345,0.6687271907948353
"Synthetic_357",361427,0.5569479273866236
"Synthetic_358",2340,0.3376161993881153
"Synthetic_359",8269208,0.6931725290404869
"Synthetic_360",729031,0.5874832913269479
"Synthetic_361",1696420,0.6242376487763203
"Synthetic_362",499598,0.5710369239959099
"Synthetic_363",31241811,0.7510187707189816
"Synthetic_364",2418890,0.6396776887242449
"Synthetic_365",822645,0.5927407547205926
"Synthetic_366",1163,0.30718998604129205
"Synthetic_367",22788070,0.7372876546441564
"Synthetic_368",23,0.1364535239219305
"Synthetic_369",15356047,0.7201095009891102
"Synthetic_370",117331447,0.8086050717204322
"Synthetic_371",9233840,0.6979742510222903
"Synthetic_372",383352,0.5595109145373166
"Synthetic_373",408662,0.5622932912909036
"Synthetic_374",1747317,0.6255241274177604
"Synthetic_375",9536222,0.6993765368666947
"Synthetic_376",6539903,0.6829622614518327
"Synthetic_377",83685,0.4932796386118821
"Synthetic_378",1581674,0.6211897371522448
"Synthetic_379",364715,0.5573420414819631
"Synthetic_380",8246266,0.6930516226489792
"Synthetic_381",6569607,0.6831594755544725
"Synthetic_382",798359,0.591436647951587
"Synthetic_383",174,0.22451684717183323
"Synthetic_384",42,0.1626595858731531
"Synthetic_385",1081773,0.6046576401186803
"Synthetic_386",22338,0.43580104842016243
"Synthetic_387",6384033,0.681912483269178
"Synthetic_388",3529832,0.6561253198647657
"Synthetic_389",2148400,0.6345169734979228
"Synthetic_390",1149553,0.6073023675458171
"Synthetic_391",116285,0.5075967023012751
"Synthetic_392",4209924,0.6637931176236853
"Synthetic_393",322988,0.5520544389264683
"Synthetic_394",135565,0.5142728259184323
"Synthetic_395",1012740,0.6017879185248908
"Synthetic_396",295368,0.5481641405082656
"Synthetic_397",10808855,0.7048280867300563
"Synthetic_398",386906,0.5599125139188593
"Synthetic_399",18038074,0.7271149872769587
"Synthetic_400",2438,0.3394016571872051
"Synthetic_401",636,0.2809236856852318
"Synthetic_402",25009887,0.7413364030295017
"Synthetic_403",21203,0.4335316820864041
"Synthetic_404",1262230,0.6113716896819428
"Synthetic_405",1314151,0.6131259761444657
"Synthetic_406",3557392,0.6564637850399117
"Synthetic_407",38668961,0.7603004972366818
"Synthetic_408",2230863,0.6361561215761603
"Synthetic_409",1886579,0.628861322745413
"Synthetic_410",1815,0.3265595285216048
"Synthetic_411",3224306,0.6521854354735084
"Synthetic_412",313244,0.5507213335718024
"Synthetic_413",13961,0.415346188514547
"Synthetic_414",53,0.17278307191595005
"Synthetic_415",20289593,0.7322338359390511
"Synthetic_416",1602477,0.6217583900296416
"Synthetic_417",5,0.07004110343099762
"Synthetic_418",10699647,0.7043861533873984
"Synthetic_419",198,0.23014001050057703
"Synthetic_420",3269126,0.6527862123380026
"Synthetic_421",8958418,0.6966564375206536
"Synthetic_422",2155279,0.6346560950953991
"Synthetic_423",5282211,0.6736675823594355
"Synthetic_424",28667223,0.7472760127476151
"Synthetic_425",4178571,0.6634678013250709
"Synthetic_426",3377,0.3535805648945171
"Synthetic_427",84,0.1928246472224777
"Synthetic_428",25,0.14008220686199524
"Synthetic_429",809,0.2913943687293737
"Synthetic_430",4,0.06033012269864916
"Synthetic_431",4,0.06033012269864916
"Synthetic_432",12,0.10814061376928175
"Synthetic_433",122281,0.5097847324147841
"Synthetic_434",555594,0.5756601213811938
"Synthetic_435",6734607,0.6842389832379634
"Synthetic_436",2388929,0.6391352851225859
"Synthetic_437",216,0.2339266572598715
"Synthetic_438",27931,0.4455252749247687
"Synthetic_439",271772,0.5445408126613595
"Synthetic_440",111888,0.5059192324330347
"Synthetic_441",1985670,0.6310891140712448
"Synthetic_442",3182031,0.6516110692571562
"Synthetic_443",1,0.0
"Synthetic_444",9,0.09562098214126516
"Synthetic_445",422368,0.5637289200688889
"Synthetic_446",542199,0.5745980527970417
"Synthetic_447",12670688,0.7117443669507856
"Synthetic_448",13,0.1116239911172034
"Synthetic_449",1506232,0.6190628507181057
"Synthetic_450",10423,0.4026276423667612
"Synthetic_451",208438,0.5329942754417133
"Synthetic_452",184692,0.5277305645350548
"Synthetic_453",143,0.2159779581271907
"Synthetic_454",92962,0.4978548354665333
"Synthetic_455",4411556,0.665829060458373
"Synthetic_456",8862210,0.6961865421690286
"Synthetic_457",134,0.21314901392995794
"Synthetic_458",829552,0.5931046185654607
"Synthetic_459",133042,0.5134552625123915
"Synthetic_460",96,0.19863579781725546
"Synthetic_461",236526,0.5384957932900253
"Synthetic_462",11952549,0.7092051763740593
"Synthetic_463",29054459,0.7478599309457612
"Synthetic_464",340690,0.5543765162833076
"Synthetic_465",923627,0.597779537298052
"Synthetic_466",260933,0.5427695982599064
"Synthetic_467",1601485,0.6217314416239359
"Synthetic_468",21334377,0.7344189946854877
"Synthetic_469",2716578,0.6447286866961481
"Synthetic_470",964327,0.5996561689593582
"Synthetic_471",480,0.2686769012482531
"Synthetic_472",673287,0.5840215925277434
"Synthetic_473",18944,0.4286290325145639
"Synthetic_474",115,0.20649462735292812
"Synthetic_475",17895478,0.7267695905470828
"Synthetic_476",2573351,0.6423715218398124
"Synthetic_477",242392,0.5395619262394219
"Synthetic_478",834635,0.5933704633120858
"Synthetic_479",4213440,0.6638294481819031
"Synthetic_480",656031,0.5828916811285492
"Synthetic_481",425568,0.5640573915838638
"Synthetic_482",292,0.24704656025882082
"Synthetic_483",132,0.21249458077926903
"Synthetic_484",10352430,0.7029504849169131
"Synthetic_485",2796,0.34536427128528646
"Synthetic_486",1,0.0
"Synthetic_487",81,0.19124196428253032
"Synthetic_488",245664,0.5401454504677866
"Synthetic_489",1072779,0.6042943051707133
"Synthetic_490",433035,0.5648143524829332
"Synthetic_491",391392,0.560414194062136
"Synthetic_492",4800657,0.6695075166229122
"Synthetic_493",4008495,0.6616594368203258
"Synthetic_494",49435,0.4703711984486691
"Synthetic_495",2680860,0.6441526972076282
"Synthetic_496",279,0.24506461778068273
"Synthetic_497",2319573,0.6378531274398299
"Synthetic_498",1299763,0.6126468804499053
"Synthetic_499",2339935,0.6382334848516137
"Synthetic_500",156255,0.520454177951528
"Synthetic_501",2,0.03016506134932458
"Synthetic_502",16464942,0.7231438210683026
"Synthetic_503",923233,0.5977609690469443
"Synthetic_504",594081,0.5785749299145603
"Synthetic_505",51,0.17110905844003363
"Synthetic_506",4574556,0.6674080242211865
"Synthetic_507",761277,0.5893668378521292
"Synthetic_508",5915090,0.6785922756199728
"Synthetic_509",45587737,0.7674637881348072
"Synthetic_510",10878594,0.7051079703544673
"Synthetic_511",967618,0.59980443520529
"Synthetic_512",296936,0.5483945557240089
"Synthetic_513",3444704,0.6550629214225854
"Synthetic_514",7491,0.38825277335321384
"Synthetic_515",1498400,0.6188359733781106
"Synthetic_516",12314,0.4098832111675827
"Synthetic_517",297845,0.5485275753989273
"Synthetic_518",456138,0.5670763317365907
"Synthetic_519",84006,0.49344624995131875
"Synthetic_520",2642,0.34289876335457775
"Synthetic_521",13,0.1116239911172034
"Synthetic_522",90,0.19582714692158737
"Synthetic_523",192924,0.5296282862778495
"Synthetic_524",3304968,0.6532607485690045
"Synthetic_525",20142265,0.7319166804270117
"Synthetic_526",3675368,0.6578836167812054
"Synthetic_527",25,0.14008220686199524
"Synthetic_528",2898,0.34692360086571616
"Synthetic_529",4,0.06033012269864916
"Synthetic_530",5352803,0.6742453225047579
"Synthetic_531",8520915,0.6944774454760642
"Synthetic_532",339001,0.5541602306006221
"Synthetic_533",2550029,0.6419753159112894
"Synthetic_534",4084,0.36185305203844137
"Synthetic_535",1227117,0.6101439111085663
"Synthetic_536",1140343,0.6069522974921999
"Synthetic_537",36030,0.4566058498988594
"Synthetic_538",77481,0.4899275015836365
"Synthetic_539",1456783,0.6176101614279272
"Synthetic_540",10853,0.40438696853962264
"Synthetic_541",2899,0.3469386151782394
"Synthetic_542",1160899,0.6077297907221906
"Synthetic_543",1458646,0.617665779917696
"Synthetic_544",3170677,0.6514555088016178
"Synthetic_545",1132,0.30601423826295504
"Synthetic_546",17,0.12329856736940105
"Synthetic_547",340395,0.5543388173141459
"Synthetic_548",106471,0.5037595713513714
"Synthetic_549",59579044,0.779112303478116
"Synthetic_550",155963,0.5203727761927908
"Synthetic_551",2418768,0.6396754937298489
"Synthetic_552",3187,0.35106048034087406
"Synthetic_553",532440,0.5738076228121461
"Synthetic_554",761583,0.5893843270624449
"Synthetic_555",23242,0.4375275215013494
"Synthetic_556",1325,0.3128652787779453
"Synthetic_557",4931518,0.6706779191431461
"Synthetic_558",115517611,0.807927053969547
"Synthetic_559",605,0.27874903745097224
"Synthetic_560",3263146,0.6527065329861593
"Synthetic_561",7527985,0.6890856034688262
"Synthetic_562",5,0.07004110343099762
"Synthetic_563",369034,0.5578543710783305
"Synthetic_564",20287,0.43160977953787183
"Synthetic_565",98,0.1995331282557165
"Synthetic_566",3660576,0.6577081155260388
"Synthetic_567",17867643,0.7267018475122485
"Synthetic_568",320,0.2510314715269451
"Synthetic_569",1521034,0.6194884315167258
"Synthetic_570",366295,0.5575301650437539
"Synthetic_571",2003466,0.6314774031566116
"Synthetic_572",24518851,0.7404734661135527
"Synthetic_573",234,0.23741003460779314
"Synthetic_574",778693,0.5903512192987195
"Synthetic_575",1073035,0.6043046889785024
"Synthetic_576",81787,0.49228125030310793
"Synthetic_577",444022,0.5659047447735446
"Synthetic_578",22445083,0.7366276638630161
"Synthetic_579",66343,0.48317359495129103
"Synthetic_580",3359213,0.6539692345625286
"Synthetic_581",255,0.24115016187103122
"Synthetic_582",16882175,0.7242328809716837
"Synthetic_583",804870,0.5917901266690316
"Synthetic_584",155441,0.5202268761327845
"Synthetic_585",4371002,0.6654271544447412
"Synthetic_586",372972,0.5583163063449225
"Synthetic_587",439394,0.565448770006483
"Synthetic_588",58053,0.4773645996314936
"Synthetic_589",20826748,0.7333709882034763
"Synthetic_590",8,0.09049518404797373
"Synthetic_591",626819,0.5809093817618243
"Synthetic_592",1,0.0
"Synthetic_593",906,0.29632247545294
"Synthetic_594",8,0.09049518404797373
"Synthetic_595",283587,0.5463927837108575
"Synthetic_596",123482,0.510210074849147
"Synthetic_597",3023,0.3487613584838197
"Synthetic_598",39777797,0.7615308509683308
"Synthetic_599",916636,0.5974488859904427
"Synthetic_600",2638,0.34283282548678645
"Synthetic_601",394,0.26008472209095723
"Synthetic_602",2208353,0.6357147730428464
"Synthetic_603",42832,0.46413174288945913
"Synthetic_604",281680,0.5460991489572492
"Synthetic_605",3493257,0.6556720374857277
"Synthetic_606",670880,0.5838657334604466
"Synthetic_607",415,0.26234455898194087
"Synthetic_608",1055677,0.6035949459275232
"Synthetic_609",129488,0.5122769139814236
"Synthetic_610",31639911,0.751569809673252
"Synthetic_611",14222263,0.7167715607628494
"Synthetic_612",3239581,0.6523911178204864
"Synthetic_613",2317,0.33718633261555436
"Synthetic_614",4124456,0.6629005231051901
"Synthetic_615",33143860,0.7535907508331071
"Synthetic_616",80033153,0.7919563685854653
"Synthetic_617",443216,0.5658256762235299
"Synthetic_618",4010840,0.661684888312592
"Synthetic_619",12670688,0.7117443669507856
"Synthetic_620",157938,0.5209204082704691
"Synthetic_621",1149705,0.6073081214765557
"Synthetic_622",63,0.1803050155944611
"Synthetic_623",198988,0.5309751201819349
"Synthetic_624",212581,0.5338507924751688
"Synthetic_625",32,0.1508253067466229
"Synthetic_626",569,0.27607923375467147
"Synthetic_627",1458768,0.6176694196589887
"Synthetic_628",5213690,0.6730993592606198
"Synthetic_629",31596,0.4508908761798591
"Synthetic_630",544781,0.5748048021928088
"Synthetic_631",6419,0.3815317032435197
"Synthetic_632",25273270,0.7417923117745302
"Synthetic_633",89,0.19534089622697354
"Synthetic_634",123115091,0.8106990662931276
"Synthetic_635",91517608,0.7977918479015609
"Synthetic_636",1419319,0.6164763438829224
"Synthetic_637",9303390,0.6983008110928752
"Synthetic_638",828150,0.5930310062627672
"Synthetic_639",40898313,0.7627398050022793
"Synthetic_640",1117278,0.6060630425631373
"Synthetic_641",468652,0.5682541771167164
"Synthetic_642",3671810,0.6578414671126772
"Synthetic_643",50895,0.4716378625119748
"Synthetic_644",3912984,0.6606099501879996
"Synthetic_645",86,0.19384867057259103
"Synthetic_646",609507,0.579690528634513
"Synthetic_647",8633,0.3944276720117434
"Synthetic_648",3334069,0.6536422659717676
"Synthetic_649",1,0.0
"Synthetic_650",836373,0.5934609907328885
"Synthetic_651",192360,0.5295008752006019
"Synthetic_652",45459,0.46672222497412974
"Synthetic_653",3275278,0.6528680315138952
"Synthetic_654",88164,0.4955486734807854
"Synthetic_655",22583968,0.7368961195902807
"Synthetic_656",481721,0.5694511502251867
"Synthetic_657",187,0.22765253437938834
"Synthetic_658",77236,0.48978967367727566
"Synthetic_659",467218,0.5681208118576665
"Synthetic_660",329612,0.5529379193222425
